"","ID","org","collection","freq","jurisdiction","date_created","date_last_mod","type"
"190","2142e30d-9275-424d-be43-f5cc7ec91916","tc","primary","P1Y","federal","2020-06-26T18:00:53.780436","2020-06-26T18:00:53.780442","dataset"
"191","2162a141-dc98-49b2-9b99-e9c95be237f0","nrcan-rncan","primary","P1Y","federal","2020-12-23T20:12:43.722339","2020-12-23T20:12:43.722345","dataset"
"192","21686a8e-2713-481b-abc9-b4bd73427c63","qc","federated","as_needed","provincial","2020-09-11T14:34:58.228964","2021-02-01T14:29:38.976682","dataset"
"193","2192de22-84bf-4672-b0c0-f64c0cb43c94","statcan","primary","as_needed","federal","2020-07-29T13:00:41.396885","2020-07-29T13:00:41.396892","dataset"
"194","219daf65-7336-4dc8-8fd4-360bcad9ffeb","dfatd-maecd","primary","P1D","federal","2020-06-04T12:10:39.446583","2021-03-30T11:10:36.387404","dataset"
"195","21b6c3d1-ea2f-493d-b0f3-a201eb74c84c","qc","federated","P1Y","municipal","2020-09-11T14:35:06.673206","2021-02-01T14:29:40.495077","dataset"
"196","21de427d-427e-4aa1-b876-05720c0d45dc","on","federated","P1Y","provincial","2021-01-27T15:52:13.624571","2021-01-28T16:47:36.913976","dataset"
"197","21f042c5-d6c4-44e2-9c03-f71c39b3a0e8","on","federated","P1Y","provincial","2021-01-27T15:52:20.871959","2021-01-28T16:47:38.533266","dataset"
"198","21f39629-88f1-4cc4-bbef-cb34276d0685","qc","federated","P1M","provincial","2020-09-11T14:35:15.274659","2021-03-10T10:00:42.295364","dataset"
"199","22007337-1e32-4d70-8a97-50db186f2eee","qc","federated","as_needed","provincial","2020-09-11T14:35:23.516040","2021-02-01T14:29:44.505789","dataset"
"200","222109a0-1621-4434-a0bc-373859d351a7","qc","federated","P3Y","municipal","2020-09-11T14:35:31.777808","2021-02-01T14:29:46.134320","dataset"
"201","222347b0-0702-4fd3-8b43-42416149f7ef","statcan","primary","P1Y","federal","2021-01-26T13:41:01.409724","2021-02-04T13:42:59.089243","dataset"
"202","2232b02d-7b75-46a9-b81a-39d84b92f9c4","qc","federated","as_needed","provincial","2020-09-11T14:35:40.465579","2021-02-01T14:29:47.852110","dataset"
"203","225ac315-49fe-476f-95bd-a1ce1648a98c","qc","federated","P1D","municipal","2020-09-11T14:35:48.792147","2021-02-01T14:29:49.506043","dataset"
"204","22c8d4f8-a21b-456e-bde3-0ae28e38d155","on","federated","as_needed","provincial","2021-01-27T15:52:29.119177","2021-01-28T16:47:40.172582","dataset"
"205","22d25507-df1e-41f9-9f48-b0fb4107c6c5","statcan","primary","P1Y","federal","2021-03-30T12:43:38.786830","2021-03-30T12:43:38.786841","dataset"
"206","22f95b5e-7759-4f65-b860-62243052201d","qc","federated","P1M","municipal","2020-09-11T14:36:08.165818","2021-02-01T14:29:51.264301","dataset"
"207","2325ed2a-1fef-41e4-ae82-339c31c744f8","qc","federated","not_planned","municipal","2020-09-11T14:36:18.215842","2021-02-01T14:29:56.043987","dataset"
"208","232b1b34-c370-473e-8460-f6d662ac0d73","statcan","primary","P1Y","federal","2020-04-24T12:38:15.897939","2020-04-27T12:38:15.797368","dataset"
"209","233354e9-9679-4453-8b41-d82575fb1787","qc","federated","not_planned","municipal","2020-09-11T14:36:26.604204","2021-02-01T14:29:57.393931","dataset"
"210","233bd940-5fc0-4ed0-b676-1db3203115d0","statcan","primary","as_needed","federal","2021-03-08T13:43:04.065167","2021-03-09T13:39:12.176406","dataset"
