,ID,org,title,collection,date_created,date_last_mod
84,a3398c37-1cb7-47c9-ba13-342c1982e2dc,statcan,"Court workload indicators, adult criminal courts, by caseload and age of cases",primary,2020-03-05T14:11:47.966261,2020-10-19T12:41:49.722919
85,8e4f240e-5fba-46f2-bf8e-fe49ba9b3adc,statcan,Enterprises (ultimate beneficiary) with business innovation and growth support by employment size and year,primary,2020-03-05T14:06:30.969863,2020-12-07T13:44:28.782386
86,81fb995b-8ef6-45b6-8a90-f399ba514455,statcan,"Postsecondary graduates, by International Standard Classification of Education, institution type, Classification of Instructional Programs, STEM and BHASE groupings, status of student in Canada, age group and gender",primary,2020-03-05T14:01:59.323156,2020-11-27T20:27:53.032205
87,dfb96b2f-b1b7-4ab2-9ea6-9cc8e17f18cc,statcan,"Postsecondary enrolments, by International Standard Classification of Education, institution type, Classification of Instructional Programs, STEM and BHASE groupings, status of student in Canada, age group and gender",primary,2020-03-05T14:01:56.464372,2020-11-27T20:27:51.429958
88,c6e5c623-acbc-4dc6-b0a2-8ae4f2f78d60,statcan,Enterprises (ultimate beneficiary) with business innovation and growth support by revenue size and year,primary,2020-03-05T13:38:46.665388,2020-12-07T13:41:23.280001
89,7e6aeb31-39dc-4fb8-b524-60450e502ce6,statcan,Enterprises (ultimate beneficiary) with business innovation and growth support by industry and year,primary,2020-03-05T13:38:43.169050,2020-12-07T13:41:21.421107
90,0973bb43-4835-41e3-87da-4606b7154969,statcan,"Travel arrangement services, distribution of sales by type of service provided",primary,2019-12-19T13:46:12.952680,2020-12-10T13:39:25.922985
91,3c6473ce-da58-462b-92dc-81fb025820a1,statcan,"Travel arrangement services, distribution of revenue by destination",primary,2019-12-19T13:42:26.499110,2020-12-10T13:40:10.665746
92,7e5e9c49-3468-448d-9f2c-e881ff608c69,statcan,"Travel arrangement services, methods used by businesses locations that reported e-commerce sales",primary,2019-12-19T13:40:26.444657,2020-12-10T13:39:16.371457
93,4f8d3e2e-3f98-4f42-9b9c-99d04af6c604,statcan,"Travel arrangement services, methods used by businesses locations that reported e-commerce sales",primary,2019-12-19T13:39:57.012076,2020-12-11T13:39:07.672597
94,db4bb59c-48e3-4f22-a8ae-9026f061b1ac,statcan,"Amusement and recreation industry, methods used by businesses locations that reported e-commerce sales",primary,2019-12-12T13:38:34.934715,2020-12-16T13:39:24.373798
95,c7421778-6656-47b3-a4e9-87536be7e8fb,statcan,"Amusement and recreation industry, methods used by businesses locations that reported e-commerce sales",primary,2019-12-12T13:38:04.306103,2020-12-17T13:39:04.195905
96,ba02a6b3-eb60-4fe3-b985-1cc741c174d1,statcan,"Characteristics and median employment income of postsecondary graduates five years after graduation, by educational qualification and field of study (STEM and BHASE (non-STEM) groupings)",primary,2019-12-04T13:45:40.872438,2020-11-06T13:40:39.409498
97,b2dad776-7213-49fc-84e2-1be304750843,statcan,"Characteristics and median employment income of longitudinal cohorts of postsecondary graduates two and five years after graduation, by educational qualification and field of study (STEM and BHASE (non-STEM) groupings)",primary,2019-12-04T13:45:17.496035,2020-11-06T13:40:37.318939
98,b6c95ffe-2e41-40f4-aa99-9eb23eb6c4d7,statcan,"Characteristics and median employment income of postsecondary graduates two years after graduation, by educational qualification and field of study (STEM and BHASE (non-STEM) groupings)",primary,2019-12-04T13:44:51.703628,2020-11-06T13:40:35.520056
99,79016ef7-e27f-48b0-90d5-e0580917247a,statcan,Number of maternal deaths and maternal mortality rates for selected causes,primary,2019-11-26T13:43:23.124111,2020-11-27T20:48:52.772350
100,8b415123-c823-4e19-be95-0b340f3fa364,statcan,"Activities of multinational enterprises in Canada, Canadian and foreign multinationals, by province, sector and industry, establishment level",primary,2019-11-18T13:49:37.283157,2020-12-07T13:41:19.613275
101,922c288a-efed-4531-b8aa-a584cff5b66c,statcan,"Automotive equipment rental and leasing, methods used by businesses locations that reported e-commerce sales",primary,2019-11-18T13:40:13.010784,2020-11-30T13:39:28.048239
102,59c5a02e-7978-464f-8ae1-87c605137f6d,statcan,"Automotive equipment rental and leasing, methods used by businesses locations that reported e-commerce sales",primary,2019-11-18T13:39:39.346929,2020-11-27T20:30:42.701419
103,1c4856b9-8eaf-4013-a75b-d423eb6fa68e,statcan,"Educators in public elementary and secondary schools, by work status, age group and sex",primary,2019-10-24T12:49:40.703982,2020-10-19T12:40:33.759447
104,b358401a-bd6e-4718-bd71-1935cc00365e,statcan,"International transactions in services, commercial services by enterprise characteristics, enterprise employment size and industry, annual",primary,2019-10-23T12:48:42.893514,2020-12-08T13:40:18.300396
105,47e402a7-5640-4334-a1bf-4d125793e292,statcan,"International transactions in services, information and communication technology services by country and affiliation, annual",primary,2019-10-23T12:41:55.294215,2020-10-19T12:40:31.892264
106,35ff4c43-360f-4736-92f3-4d0c4c7c871e,statcan,"International transactions in services, information and communication technology services by country and affiliation, annual",primary,2019-10-23T12:41:23.800813,2020-10-20T12:39:35.099320
107,a40867a5-0ce5-4905-84ce-e51312b34535,statcan,Low income entry and exit rates of tax filers in Canada,primary,2019-10-04T12:46:16.685262,2020-11-27T20:26:35.720641
108,84fff36f-527c-426f-9715-ae4f8181fda3,statcan,Low income persistence of tax filers in Canada,primary,2019-10-04T12:45:58.521256,2020-11-27T20:26:34.080556
109,5b5f1882-67b2-44bd-84a1-7acba2e6770d,statcan,Low income duration of tax filers in Canada,primary,2019-10-04T12:45:38.894335,2020-11-27T20:26:32.447316
110,8f877c87-f842-497b-97b2-7a9a5029fa8a,statcan,High income tax filers in Canada,primary,2019-10-04T12:42:31.162057,2020-11-27T20:40:34.616275
111,1fa1019d-a520-457b-a576-4a9541cdec70,statcan,Federal and provincial individual effective tax rates,primary,2019-10-04T12:42:10.909403,2020-11-27T20:40:33.046744
112,22b7bceb-ba28-4d53-93b7-f07e4e79ac68,statcan,"High income tax filers in Canada, specific geographic area thresholds",primary,2019-10-04T12:41:45.469718,2020-11-27T20:40:29.433003
113,5d82dc4f-a156-4082-97c0-50935471c17d,statcan,Five-year income mobility,primary,2019-10-04T12:41:20.926552,2020-11-27T20:40:27.848696
114,62d62506-837f-4bb7-8496-593808e8214a,statcan,Federal and provincial effective tax rates of census families,primary,2019-10-04T12:40:55.800606,2020-11-27T20:40:26.367028
115,07e9b048-27fa-41a2-be3a-d634567b9aaf,statcan,One-year income mobility,primary,2019-10-04T12:39:53.229317,2020-11-27T20:24:09.925382
116,b0e43395-035b-4db8-b4cd-5da0877e329a,statcan,"Police services expenditures, by detailed expenditures",primary,2019-10-03T12:41:22.077007,2020-12-09T13:39:55.466738
117,0d46ef71-4fcc-48e9-8194-7cec65ed9d9c,statcan,"Police services expenditures, by detailed expenditures",primary,2019-10-03T12:40:51.839875,2020-12-10T13:39:59.348554
118,4a72040a-2ec9-4f12-89cc-13c34eec8b20,statcan,Distribution of household population by vision status,primary,2019-10-02T12:41:47.277519,2020-12-15T13:40:29.257035
119,471ea0f1-1613-4425-83af-f60e945e56e2,statcan,Distribution of household population by vision status,primary,2019-10-02T12:41:14.948551,2020-12-16T13:40:41.295243
120,0d28ca48-6b09-4712-a013-eea93ee7c6b3,statcan,"Police-reported organized crime, by most serious violation, Canada (selected police services)",primary,2019-07-22T12:49:05.910490,2020-11-27T20:31:59.680118
121,826c4d7d-4951-4740-b419-5893acbd1980,statcan,"Number of homicide victims and persons accused of homicide, by Aboriginal identity, age group and sex",primary,2019-07-22T12:48:47.355492,2020-10-30T12:39:29.786396
122,6ff58194-e0a2-4874-abf9-5e67bb13856b,statcan,"Number and rate of victims of solved homicides, by sex, Aboriginal identity and type of accused-victim relationship",primary,2019-07-22T12:39:44.936381,2020-10-30T12:40:31.385468
123,a95383d1-b126-4f13-a3ef-cc4e32a118ef,statcan,"Coroner and medical examiner investigated deaths and mortality rates, by sex",primary,2019-04-29T12:40:24.862812,2020-11-27T20:50:32.158301
124,b6cdb2f8-ceb2-42fe-9d2e-e4d72074ee91,statcan,"Coroner and medical examiner investigated deaths and mortality rates, by age group",primary,2019-04-29T12:40:05.789206,2020-11-27T20:50:30.090599
125,f476fe88-f35c-474e-b9b5-48cc3c88e42f,statcan,"Residency participation of residential properties, by property type and period of construction",primary,2019-04-17T13:44:08.534090,2020-10-29T12:40:32.452333
126,37e7f8e9-ffbf-4964-a492-be6082698cbf,statcan,"Input-output multipliers, provincial and territorial, summary level",primary,2019-04-17T13:33:29.763219,2020-11-27T20:44:31.008629
127,5470e856-6330-4a25-a7f3-f33ef53f1a56,statcan,"Input-output multipliers, provincial and territorial, detail level",primary,2019-04-17T13:26:47.044955,2020-11-27T20:51:00.335862
128,29380c24-3171-4e11-93bc-38c935b82e8f,statcan,"Input-output multipliers, detail level",primary,2019-04-17T13:26:40.049604,2020-11-27T20:50:58.859566
129,cc58286e-6339-497d-af4d-c815a073f149,statcan,"Postsecondary graduates, by field of study, International Standard Classification of Education, age group and gender",primary,2019-04-17T13:13:47.919144,2020-11-27T20:41:52.712104
130,ccfaf570-babd-489a-a533-9b1c7a83d1e4,statcan,"Postsecondary enrolments, by field of study, International Standard Classification of Education, age group and gender",primary,2019-04-17T13:05:18.467228,2020-11-27T20:40:59.880123
131,59ca6332-391b-4fdf-bb3a-31e5e45f6bb7,statcan,"Farm operating revenues and expenses, annual",primary,2019-04-17T12:54:59.903180,2020-12-07T13:43:50.367924
132,6289656a-1437-4272-bb79-05561d622358,statcan,"Input-output multipliers, summary level",primary,2019-04-17T12:37:46.775219,2020-11-27T20:38:46.582684
133,409f6287-2260-4461-b1b4-5a23d200bf23,statcan,"Telecommunications services producer price indexes, quarterly",primary,2019-02-01T13:40:39.478552,2021-01-22T13:40:58.612512
134,b8ca89c7-daa0-4e25-aff4-1b556e7f7cf7,statcan,"Youth courts, guilty cases by mean and median length of custody",primary,2018-12-14T17:58:04.158180,2020-10-19T12:39:10.356911
135,47bf6ec6-079c-413a-a6eb-7de43401280b,statcan,"Characteristics and median employment income of postsecondary graduates two years after graduation, by educational qualification and field of study (alternative primary groupings)",primary,2018-12-14T17:56:54.789344,2020-11-06T13:38:43.404770
136,c532a6a4-3a22-4404-b286-9283b3f31c7f,statcan,"Characteristics and median employment income of postsecondary graduates five years after graduation, by educational qualification and field of study (alternative primary groupings)",primary,2018-12-14T17:53:06.804669,2020-11-06T13:40:28.536407
137,8d97dbba-05d8-4359-bf88-fd5565e0f24f,statcan,"Characteristics and median employment income of longitudinal cohorts of postsecondary graduates two and five years after graduation, by educational qualification and field of study (alternative primary groupings)",primary,2018-12-14T17:53:01.385329,2020-11-06T13:40:26.747022
138,24c36e2b-47b5-4aa0-a73f-a29eea22b41b,statcan,"Certification, continuation, and discontinuation rates of newly registered apprentices within program duration, 1.5 times program duration, and 2 times program duration, inactive",primary,2018-12-14T17:47:05.325185,2020-12-10T13:39:18.152317
139,802bd0f4-f4b4-4498-bda2-82f8c524c041,statcan,"Information system(s) usage for management of publicly owned wastewater assets, Infrastructure Canada",primary,2018-11-14T13:46:03.309500,2021-02-04T13:47:05.880791
140,18095bc3-a27b-4b18-af30-5649fde15003,statcan,"Public owners whose wastewater system needs to be upgraded to meet effluent quality standards of the Federal Wastewater Systems Effluent Regulations, Infrastructure Canada",primary,2018-11-14T13:43:51.936124,2021-02-04T13:47:09.607022
141,d1f10dc5-ac1b-40c5-89dc-f55123086fe3,statcan,"Asset management practices for publicly owned wastewater assets, Infrastructure Canada",primary,2018-11-14T13:43:42.021348,2021-02-04T13:47:01.900201
