"","ID","org","collection","freq","jurisdiction","date_created","date_last_mod"
"1019","e7f6ba47-3849-4fd3-b08b-247300888d54","statcan","primary","P1Y","federal","2021-01-25T13:39:28.613670","2021-01-26T13:39:08.137226"
"1020","e8112635-bdfd-4d0f-a62b-488357e793f4","statcan","primary","as_needed","federal","2021-04-13T12:50:06.154183","2021-04-13T12:50:06.154191"
"1021","e8df1678-57e8-4166-b721-fb172696483d","statcan","primary","P1Y","federal","2021-04-13T12:56:39.408350","2021-04-13T12:56:39.408357"
"1022","e8e0e8f5-4731-437c-bc54-d14d8785c1c0","statcan","primary","as_needed","federal","2021-03-16T12:44:45.097081","2021-03-16T12:44:45.097091"
"1023","e91d6cb5-fa48-413b-88e7-1f26582dc85c","statcan","primary","as_needed","federal","2021-03-05T13:41:22.692542","2021-04-09T12:40:49.410322"
"1024","e91f13cb-cc76-4aa6-8389-ddc7c265d834","statcan","primary","P1M","federal","2020-09-01T12:38:33.873064","2021-04-02T12:40:46.693089"
"1025","e9219992-9f6f-4b05-8420-9cadf47bf61e","statcan","primary","P1Y","federal","2021-04-13T12:57:23.903512","2021-04-13T12:57:23.903521"
"1026","e9389807-666f-43f0-9cc9-ed2f6bc02f44","statcan","primary","P1Y","federal","2021-04-13T12:51:11.956702","2021-04-13T12:51:11.956709"
"1027","e95a44a5-65b4-476f-aaae-f8406fd3e7fd","csec-cstc","primary","P1Y","federal","2020-12-23T20:02:38.987371","2021-01-25T21:11:13.286464"
"1028","e96af15a-985b-4048-b5c0-6f82a1db32a6","statcan","primary","P1Y","federal","2021-04-13T12:40:43.353369","2021-04-13T12:40:43.353376"
"1029","e9702846-67bb-46dc-a5da-9534bd896740","statcan","primary","as_needed","federal","2021-04-08T12:42:35.965049","2021-04-08T12:42:35.965057"
"1030","e983a9ed-c54a-445b-95dc-db13e3afc2ea","statcan","primary","P1W","federal","2020-08-28T12:40:26.889165","2021-04-19T12:39:27.394966"
"1031","e98db955-22d9-4d14-a969-660d47fe4046","statcan","primary","P1Y","federal","2021-04-13T12:49:50.115101","2021-04-13T12:49:50.115108"
