"year/month","downloads","pageviews","id"
"202011","23","42","25bf270d-b108-4daf-b82a-59f59964b45d"
"202012","11","24","25bf270d-b108-4daf-b82a-59f59964b45d"
"202101","5","11","25bf270d-b108-4daf-b82a-59f59964b45d"
"202006","9","18","2229b958-1571-4aa4-a6ac-613af6329fdd"
"202007","5","21","2229b958-1571-4aa4-a6ac-613af6329fdd"
"202008","7","14","2229b958-1571-4aa4-a6ac-613af6329fdd"
"202009","8","26","2229b958-1571-4aa4-a6ac-613af6329fdd"
"202010","28","79","2229b958-1571-4aa4-a6ac-613af6329fdd"
"202011","34","82","2229b958-1571-4aa4-a6ac-613af6329fdd"
"202012","10","32","2229b958-1571-4aa4-a6ac-613af6329fdd"
"202101","9","21","2229b958-1571-4aa4-a6ac-613af6329fdd"
"202006","0","0","42e236d8-1661-442d-96d7-4175fb2f96ca"
"202007","0","0","42e236d8-1661-442d-96d7-4175fb2f96ca"
"202008","0","0","42e236d8-1661-442d-96d7-4175fb2f96ca"
"202009","0","0","42e236d8-1661-442d-96d7-4175fb2f96ca"
"202010","2","9","42e236d8-1661-442d-96d7-4175fb2f96ca"
"202011","1","2","42e236d8-1661-442d-96d7-4175fb2f96ca"
"202012","0","0","42e236d8-1661-442d-96d7-4175fb2f96ca"
"202101","1","2","42e236d8-1661-442d-96d7-4175fb2f96ca"
"202006","0","0","3aa1e211-dc38-4d26-bfc3-054f24802421"
"202007","0","0","3aa1e211-dc38-4d26-bfc3-054f24802421"
"202008","0","0","3aa1e211-dc38-4d26-bfc3-054f24802421"
"202009","0","0","3aa1e211-dc38-4d26-bfc3-054f24802421"
"202010","0","0","3aa1e211-dc38-4d26-bfc3-054f24802421"
"202011","0","0","3aa1e211-dc38-4d26-bfc3-054f24802421"
"202012","0","0","3aa1e211-dc38-4d26-bfc3-054f24802421"
"202101","0","2","3aa1e211-dc38-4d26-bfc3-054f24802421"
"202006","0","0","b4d63160-d210-4b60-afec-f5e740023cdf"
"202007","0","0","b4d63160-d210-4b60-afec-f5e740023cdf"
"202008","0","0","b4d63160-d210-4b60-afec-f5e740023cdf"
"202009","0","0","b4d63160-d210-4b60-afec-f5e740023cdf"
"202010","0","0","b4d63160-d210-4b60-afec-f5e740023cdf"
"202011","0","0","b4d63160-d210-4b60-afec-f5e740023cdf"
"202012","4","8","b4d63160-d210-4b60-afec-f5e740023cdf"
"202101","0","0","b4d63160-d210-4b60-afec-f5e740023cdf"
"202006","16","21","f659d98a-4945-4ace-9c3f-35226d4a8037"
"202007","12","14","f659d98a-4945-4ace-9c3f-35226d4a8037"
"202008","6","6","f659d98a-4945-4ace-9c3f-35226d4a8037"
"202009","16","25","f659d98a-4945-4ace-9c3f-35226d4a8037"
"202010","22","40","f659d98a-4945-4ace-9c3f-35226d4a8037"
"202011","16","24","f659d98a-4945-4ace-9c3f-35226d4a8037"
"202012","7","14","f659d98a-4945-4ace-9c3f-35226d4a8037"
"202101","11","14","f659d98a-4945-4ace-9c3f-35226d4a8037"
"202006","5","15","77aad0ec-2ca7-4e9f-baba-2ddb3030ca7a"
"202007","1","4","77aad0ec-2ca7-4e9f-baba-2ddb3030ca7a"
"202008","0","4","77aad0ec-2ca7-4e9f-baba-2ddb3030ca7a"
"202009","0","0","77aad0ec-2ca7-4e9f-baba-2ddb3030ca7a"
"202010","1","4","77aad0ec-2ca7-4e9f-baba-2ddb3030ca7a"
"202011","1","3","77aad0ec-2ca7-4e9f-baba-2ddb3030ca7a"
"202012","0","2","77aad0ec-2ca7-4e9f-baba-2ddb3030ca7a"
"202101","1","4","77aad0ec-2ca7-4e9f-baba-2ddb3030ca7a"
"202006","0","0","2af1a7f4-431e-41c7-8c67-fe2348ccf031"
"202007","0","0","2af1a7f4-431e-41c7-8c67-fe2348ccf031"
"202008","0","0","2af1a7f4-431e-41c7-8c67-fe2348ccf031"
"202009","0","0","2af1a7f4-431e-41c7-8c67-fe2348ccf031"
"202010","0","0","2af1a7f4-431e-41c7-8c67-fe2348ccf031"
"202011","0","0","2af1a7f4-431e-41c7-8c67-fe2348ccf031"
"202012","5","10","2af1a7f4-431e-41c7-8c67-fe2348ccf031"
